order_id,predicted_kpt_old,rider_wait_old,predicted_eta_old,predicted_kpt_new,rider_wait_new,predicted_eta_new,eta_error_old,eta_error_new,kpt_improvement_min,eta_accuracy_improvement_min,rider_idle_time_reduction_min,dispatch_strategy,system_load_score,fairness_index
1,35.2,2.5,53.6,24.8,2.4,43.1,11.6,1.1,10.4,10.5,0.1,AI_Dynamic,0.59,0.88
2,17.8,1.2,30.0,14.8,0.2,26.0,2.8,6.8,3.0,-4.0,1.0,AI_Dynamic,0.12,0.78
3,46.8,7.2,59.8,47.0,1.3,54.1,1.4,7.1,0.2,-5.7,5.9,Old_Static,0.21,0.77
4,28.0,2.7,39.9,23.6,0.2,33.0,4.1,2.8,4.4,1.3,2.5,AI_Dynamic,0.13,0.87
5,10.6,5.1,31.6,13.0,0.2,29.1,0.8,1.7,-1.4,-0.9,4.9,AI_Dynamic,0.91,0.9
6,38.4,1.1,83.7,27.9,2.0,74.1,4.8,4.8,8.1,0.0,-0.9,AI_Dynamic,0.91,0.94
7,24.7,1.4,38.5,17.2,2.7,32.3,4.6,1.6,7.5,3.0,-1.3,AI_Dynamic,0.22,0.9
8,25.3,2.9,50.9,23.3,0.6,46.6,3.9,0.4,2.0,3.5,2.3,AI_Dynamic,0.31,0.84
9,13.2,13.4,56.1,23.0,1.1,53.6,0.3,2.2,7.8,-1.9,12.3,AI_Dynamic,0.89,0.84
10,43.8,6.7,66.9,46.5,1.4,64.3,1.5,4.1,1.5,-2.6,5.3,AI_Dynamic,0.77,0.85
11,23.7,2.7,68.1,20.2,4.1,66.0,5.6,7.7,-2.7,-2.1,-1.4,Old_Static,0.87,0.81
12,40.8,0.3,48.2,31.2,2.0,40.3,7.8,0.1,9.6,7.7,-1.7,AI_Dynamic,0.17,0.93
13,59.2,1.8,74.1,49.7,3.9,66.7,11.9,4.5,9.5,7.4,-2.1,AI_Dynamic,0.81,0.71
14,21.6,13.6,67.5,29.6,0.5,62.4,0.8,4.3,8.0,-3.5,13.1,AI_Dynamic,0.78,0.93
15,36.7,11.9,53.8,43.5,1.5,50.2,0.2,3.8,6.8,-3.6,10.4,AI_Dynamic,0.71,0.91
16,10.9,6.5,29.8,15.7,2.3,30.4,1.7,1.1,-1.0,0.6,4.2,AI_Dynamic,0.2,0.94
17,32.0,5.8,109.0,34.9,0.5,106.6,4.0,6.4,-0.5,-2.4,5.3,AI_Dynamic,0.95,0.87
18,53.2,2.5,114.3,46.3,0.4,105.3,9.5,0.5,6.9,9.0,2.1,AI_Dynamic,0.92,0.98
19,22.6,2.0,72.5,14.9,2.1,64.9,0.5,8.1,2.3,-7.6,-0.1,AI_Dynamic,0.28,0.93
20,41.0,5.0,89.9,43.8,0.4,88.1,3.4,5.2,-2.0,-1.8,4.6,AI_Dynamic,0.94,0.72
21,41.9,3.0,69.2,24.5,2.1,50.9,9.2,9.1,9.0,0.1,0.9,AI_Dynamic,0.57,0.94
22,34.1,2.1,72.0,35.0,0.6,71.4,3.0,3.6,-0.9,-0.6,1.5,Old_Static,0.77,0.84
23,42.2,5.2,59.6,43.7,1.1,57.0,4.2,6.8,-0.3,-2.6,4.1,AI_Dynamic,0.85,0.77
24,6.5,6.7,59.1,9.3,1.6,56.8,4.8,7.1,1.4,-2.3,5.1,AI_Dynamic,0.23,0.84
25,56.9,2.4,75.5,47.2,1.0,64.4,12.1,1.0,9.7,11.1,1.4,AI_Dynamic,0.75,0.78
26,21.3,0.8,64.6,16.5,0.6,59.6,5.1,0.1,4.8,5.0,0.2,AI_Dynamic,0.21,0.82
27,24.9,16.1,61.0,39.3,5.0,64.3,4.1,0.8,8.6,3.3,11.1,AI_Dynamic,0.65,0.9
28,21.8,2.5,38.4,20.6,5.7,40.4,2.7,0.7,1.2,2.0,-3.2,AI_Dynamic,0.59,0.91
29,41.9,2.6,51.0,33.3,0.4,40.2,5.0,5.8,6.2,-0.8,2.2,Old_Static,0.22,0.7
30,28.9,1.2,87.0,16.4,4.4,77.7,2.4,6.9,4.7,-4.5,-3.2,AI_Dynamic,0.98,0.85
31,25.2,15.8,87.9,37.1,0.1,84.1,1.6,5.4,10.5,-3.8,15.7,AI_Dynamic,0.41,0.84
32,31.9,1.0,55.2,21.7,0.1,44.1,7.6,3.5,10.2,4.1,0.9,Old_Static,0.89,0.97
33,58.3,0.6,64.7,46.9,2.2,54.9,4.5,5.3,11.4,-0.8,-1.6,AI_Dynamic,0.74,0.85
34,23.3,1.9,55.2,24.0,0.7,54.7,1.1,1.6,-0.7,-0.5,1.2,AI_Dynamic,0.22,0.76
35,24.7,5.2,34.3,27.8,0.7,32.9,3.3,1.9,-1.9,1.4,4.5,Old_Static,0.51,0.72
36,16.3,8.4,52.3,17.0,1.1,45.7,2.2,4.4,0.7,-2.2,7.3,AI_Dynamic,0.63,0.84
37,16.0,8.3,62.5,17.0,0.4,55.6,2.0,4.9,1.0,-2.9,7.9,AI_Dynamic,0.76,0.74
38,10.7,1.3,19.1,8.5,4.3,19.9,8.2,7.4,-1.4,0.8,-3.0,Old_Static,0.42,0.92
39,36.8,0.3,47.7,33.4,0.2,44.2,0.4,3.1,3.4,-2.7,0.1,AI_Dynamic,0.32,0.95
40,25.0,10.9,48.8,29.3,2.5,44.7,1.5,5.6,4.3,-4.1,8.4,Old_Static,0.28,0.85
41,19.0,5.1,66.9,22.1,0.6,65.5,5.0,6.4,-2.1,-1.4,4.5,AI_Dynamic,0.73,0.88
42,26.9,7.2,68.3,27.1,1.6,62.9,0.1,5.3,0.2,-5.2,5.6,Old_Static,0.13,0.94
43,52.8,2.1,71.8,43.5,1.6,62.0,9.8,0.0,9.3,9.8,0.5,AI_Dynamic,0.97,0.97
44,39.4,2.6,57.3,40.2,0.6,56.1,5.3,4.1,-0.8,1.2,2.0,AI_Dynamic,0.24,0.83
45,30.4,19.0,61.4,45.7,2.9,60.6,1.5,2.3,13.5,-0.8,16.1,AI_Dynamic,0.77,0.78
46,11.4,0.3,33.9,14.3,0.5,37.0,4.6,1.5,-2.9,3.1,-0.2,AI_Dynamic,0.38,0.95
