order_id,restaurant_id,rider_id,order_timestamp,items_count,order_complexity_score,map_routing_efficiency,num_traffic_signals,signal_wait_time_min,actual_prep_time_min,actual_delivery_time_min,distance_km,traffic_level,weather_condition,peak_hour_flag,order_status,customer_eta_given_min,actual_total_time_min
1,101,107,10/13/2023 14:02,7,5,1,6,2.1,24,15.9,5.2,Medium,Clear,1,Delivered,49,42
2,107,194,10/19/2023 9:26,1,3,0.72,5,0.5,13.9,11,4.7,Low,Clear,0,Delivered,34,32.8
3,291,327,10/4/2023 0:57,2,5,0.92,4,1.4,49.4,5.8,2.3,Medium,Clear,0,Delivered,61,61.2
4,105,238,10/16/2023 5:50,1,4,0.92,12,1.8,23,9.2,4.7,Low,Clear,0,Delivered,36,35.8
5,221,132,10/14/2023 11:20,1,4,0.98,13,2.5,11.1,15.9,6.2,Medium,Clear,0,Delivered,35,30.8
6,76,357,10/13/2023 9:58,4,5,0.95,13,4.6,29.1,44.2,8.4,High,Rain,0,Delivered,85,78.9
7,227,83,10/14/2023 19:55,1,4,0.87,10,1.9,16.6,12.4,3.9,Medium,Clear,1,Delivered,34,33.9
8,84,284,10/30/2023 21:40,8,5,0.77,13,1.2,22.5,22.7,10.9,Low,Clear,1,Delivered,50,47
9,76,468,10/26/2023 11:10,8,2,0.85,11,4.4,22,29.5,6.3,Medium,Rain,0,Delivered,57,55.8
10,249,222,10/10/2023 12:19,7,5,0.73,7,2.6,45.9,16.4,5.5,Medium,Clear,1,Delivered,82,68.4
11,255,106,10/6/2023 23:07,5,2,0.85,18,8.6,23.3,41.7,7.5,High,Clear,0,Delivered,78,73.7
12,50,294,10/12/2023 0:35,6,1,0.76,2,0.3,29.4,7.1,2.8,Low,Clear,0,Delivered,38,40.4
13,210,66,10/10/2023 12:46,6,4,0.98,4,1.6,46,13.1,2.2,Medium,Heavy Rain,1,Delivered,64,62.2
14,158,195,10/4/2023 12:09,6,1,0.82,10,4.7,30.6,32.3,4.8,Medium,Rain,1,Delivered,65,66.7
15,233,188,10/17/2023 3:51,7,4,0.74,3,1.1,44,5.2,1.4,Medium,Clear,0,Delivered,55,54
16,77,47,10/26/2023 9:45,8,1,0.71,8,1.2,12.8,12.4,5.2,Low,Clear,0,Delivered,30,31.5
17,223,362,10/2/2023 11:24,8,5,0.8,14,11.1,33.2,71.2,8.4,High,Rain,0,Delivered,114,113
18,121,497,10/27/2023 19:09,2,1,0.72,19,8.7,43.8,58.6,9.9,Medium,Clear,1,Delivered,122,104.8
19,107,359,10/2/2023 10:49,4,4,0.84,6,2.8,17.6,47.9,7.4,High,Clear,0,Delivered,71,73
20,241,25,10/28/2023 21:13,4,3,0.71,14,5.1,41.4,43.9,8.6,Medium,Rain,1,Delivered,102,93.3
21,28,66,10/14/2023 7:28,7,4,0.95,8,0.9,28.7,24.3,10.2,Low,Clear,0,Delivered,62,60
22,192,487,10/26/2023 4:13,1,3,0.84,23,2,30.1,35.8,9.5,Low,Rain,0,Delivered,89,75
